date,surveil_pos,surveil_nasal,surveil_saliva,surveil_total
8/3/20,0,0,0,0
8/4/20,0,0,0,0
8/5/20,0,0,0,0
8/6/20,0,0,0,0
8/7/20,0,0,0,0
8/8/20,0,0,0,0
8/9/20,0,0,0,0
8/10/20,4,174,0,174
8/11/20,0,0,0,0
8/12/20,0,0,0,0
8/13/20,0,0,0,0
8/14/20,2,73,0,73
8/15/20,0,0,0,0
8/16/20,0,3,0,3
8/17/20,5,117,0,117
8/18/20,0,0,0,0
8/19/20,0,114,0,114
8/20/20,0,0,0,0
8/21/20,0,220,0,220
8/22/20,1,194,0,194
8/23/20,5,250,0,250
8/24/20,2,422,0,422
8/25/20,2,260,0,260
8/26/20,2,269,0,269
8/27/20,4,388,0,388
8/28/20,1,358,0,358
8/29/20,1,277,0,277
8/30/20,2,308,0,308
8/31/20,1,449,0,449
9/1/20,4,347,0,347
9/2/20,0,229,0,229
9/3/20,0,440,0,440
9/4/20,0,243,0,243
9/5/20,0,161,0,161
9/6/20,1,155,0,155
9/7/20,0,205,0,205
9/8/20,0,116,0,116
9/9/20,4,557,0,557
9/10/20,1,309,0,309
9/11/20,10,469,0,469
9/12/20,0,0,0,0
9/13/20,0,313,0,313
9/14/20,3,582,0,582
9/15/20,3,381,0,381
9/16/20,2,797,0,797
9/17/20,2,423,0,423
9/18/20,0,506,0,506
9/19/20,0,0,0,0
9/20/20,0,311,18,329
9/21/20,8,310,196,506
9/22/20,0,462,228,690
9/23/20,6,710,218,928
9/24/20,0,520,217,737
9/25/20,6,714,216,930
9/26/20,0,269,211,480
9/27/20,4,410,231,641
9/28/20,3,969,444,1413
9/29/20,4,714,553,1267
9/30/20,4,875,514,1389
10/1/20,0,661,485,1146
10/2/20,0,838,336,1174
10/3/20,0,0,0,0
10/4/20,2,227,0,227
10/5/20,2,625,302,927
10/6/20,1,781,532,1313
10/7/20,0,574,494,1068
10/8/20,0,732,469,1201
10/9/20,0,520,268,788
10/10/20,0,1,0,1
10/11/20,2,508,21,529
10/12/20,3,754,578,1332
10/13/20,6,804,741,1545
10/14/20,1,622,827,1449
10/15/20,5,793,720,1513
10/16/20,12,545,423,968
10/17/20,0,0,0,0
10/18/20,5,499,51,550
10/19/20,2,598,691,1289
10/20/20,5,682,750,1432
10/21/20,4,776,741,1517
10/22/20,4,770,815,1585
10/23/20,3,495,803,1298
10/24/20,2,371,299,670
10/25/20,2,573,293,866
10/26/20,9,662,684,1346
10/27/20,7,738,796,1534
10/28/20,6,619,735,1354
10/29/20,4,779,931,1710
10/30/20,5,626,886,1512
10/31/20,2,332,253,585
11/1/20,0,488,152,640
11/2/20,7,649,1001,1650
11/3/20,7,811,1216,2027
11/4/20,11,626,1046,1672
11/5/20,11,764,630,1394
11/6/20,0,0,138,138
11/7/20,0,1,0,1
11/8/20,1,206,0,206
11/9/20,5,236,165,401
11/10/20,0,214,478,692
11/11/20,0,73,310,383
11/12/20,2,271,1257,1528
11/13/20,1,80,1229,1309
11/14/20,0,10,722,732
11/15/20,1,196,704,900
11/16/20,2,148,1104,1252
11/17/20,3,296,1179,1475
11/18/20,3,266,1326,1592
11/19/20,0,425,1011,1436
11/20/20,0,140,869,1009
11/21/20,0,67,451,518
11/22/20,0,42,0,42
11/23/20,1,251,0,251
11/24/20,0,54,0,54
11/25/20,0,217,0,217
11/26/20,0,0,0,0
11/27/20,0,0,0,0
11/28/20,0,26,0,26
11/29/20,0,150,0,150
11/30/20,0,71,211,282
12/1/20,0,233,646,879
12/2/20,0,78,749,827
12/3/20,0,159,464,623
12/4/20,0,61,393,454
12/5/20,0,0,0,0
12/6/20,0,152,0,152
12/7/20,0,57,339,396
12/8/20,0,163,655,818
12/9/20,0,58,787,845
12/10/20,0,167,438,605
12/11/20,0,35,370,405
12/12/20,0,0,0,0
12/13/20,1,188,0,188
12/14/20,0,66,300,366
12/15/20,1,209,543,752
12/16/20,0,72,665,737
