Country,Province,Latitude,Longitude,Interface,Animal_ID,Taxa,Species,Common Name,Sampling_Date,Sex,Age,Sample_Type,PCR_Type,PCR_Protocol,PCR_Result
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100000,Bats,Mops brachypterus,Sierra Leone Free-Tailed Bat,12/17/10,Male,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100001,Bats,Mops brachypterus,Sierra Leone Free-Tailed Bat,12/17/10,Male,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100002,Bats,Megaloglossus woermanni,Woermann's Fruit Bat,12/17/10,Female,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100003,Bats,Hipposideros caffer,Sundevall's Roundleaf Bat,12/17/10,Male,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100004,Bats,Neoromicia nana,Banana Pipistrelle,12/17/10,Male,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100005,Bats,Epomops franqueti,Franquet's Epauletted Fruit Bat,12/17/10,Female,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100006,Bats,Megaloglossus woermanni,Woermann's Fruit Bat,12/17/10,Female,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100007,Bats,Megaloglossus woermanni,Woermann's Fruit Bat,12/17/10,Female,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100008,Bats,Megaloglossus woermanni,Woermann's Fruit Bat,12/17/10,Male,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100009,Bats,Megaloglossus woermanni,Woermann's Fruit Bat,12/17/10,Female,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100010,Bats,Epomops franqueti,Franquet's Epauletted Fruit Bat,12/17/10,Female,adult (reproductive age),oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100015,Non-human Primates,Pan paniscus,Bonobo,3/22/11,Male,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100020.2012-03-20,Non-human Primates,Pan paniscus,Bonobo,3/22/11,Female,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
