n_tests,n_pos,date,province
11,0,12/17/10,Kasai_Oriental
12,0,9/22/11,Kinshasa
11,0,9/24/11,Bas_Congo
7,0,10/8/11,Kasai_Oriental
1,0,1/6/12,Bas_Congo
3,0,3/14/12,Kinshasa
18,0,4/28/12,Kinshasa
58,12,7/29/12,Lekoumou
5,0,8/16/12,Kinshasa
78,0,9/27/12,Orientale
10,0,10/19/12,Kasai_Oriental
34,1,10/30/12,Kinshasa
54,1,12/13/12,Kinshasa
8,0,9/10/13,Bas_Congo
24,0,9/12/13,Kinshasa
23,0,10/1/13,Bas_Congo
19,4,12/26/13,Bandundu
14,4,1/23/14,Equateur
54,14,1/29/14,Sangha
59,21,2/17/14,Bandundu
20,11,3/24/14,Katanga
81,19,3/23/14,Sangha
28,1,8/24/15,Bas_Congo
36,0,8/31/15,Lekoumou
50,9,12/18/15,Pool
49,1,2/26/16,Bandundu
49,0,6/28/16,Sangha
8,0,7/21/16,Bas_Congo
60,2,7/21/16,Lekoumou
13,0,9/13/16,Bas_Congo
45,1,11/9/16,Orientale
95,8,12/26/16,Bas_Congo
2,0,4/13/17,Orientale
46,0,6/3/17,Kinshasa
57,1,7/4/17,Kinshasa
8,0,9/18/17,Kinshasa
32,0,11/24/17,Kinshasa
41,0,12/10/17,Kinshasa
10,0,1/30/18,Kinshasa
21,0,3/2/18,Kinshasa
90,7,6/2/18,Kinshasa
12,2,7/20/18,Kinshasa
